"ID","Body_A","Body_L","Body_H","Eye_A","Gape_W","Head_W","InterEye_W","Leg1st_L","Leg3rd_L","InterLeg_W","Thorax_W","Mentum_L"
"G.10.31",79.3683765432099,17.4951512345679,4.00606481481482,0.610944444444444,3.80462345679012,5.14796604938272,3.28076234567901,6.24545987654321,9.35218827160494,3.96105555555556,4.63799691358025,2.97324691358025
"G.10.32",60.051592039801,14.9054950248756,4.04197114427861,0.774166666666667,3.66995945273632,5.05124800995025,3.21254626865672,5.73203134328358,10.2621251243781,3.71985547263682,3.99354776119403,2.67357039800995
"G.10.33",54.2557580645161,14.1640752688172,3.15657311827957,0.495505376344086,3.05948279569892,4.49790752688172,3.12458817204301,5.28176559139785,9.12318924731183,2.95100322580645,3.53348817204301,2.27054408602151
"G.10.34",72.6848414634146,16.2507682926829,3.91107073170732,0.535589430894309,3.62995203252033,4.98950487804878,3.34311219512195,6.04837642276423,10.0540357723577,3.86009918699187,4.38834227642276,2.62999105691057
"G.10.36",62.27258,14.9818133333333,4.07900933333333,0.804373333333333,3.61394133333333,5.04077466666667,3.05941066666667,5.422244,9.559092,3.82850933333333,4.25973466666667,2.68460533333333
"G.10.39",63.8260949074074,15.1639097222222,3.99973148148148,0.697847222222222,3.58430092592593,4.96088194444444,3.1376712962963,5.49396527777778,9.71507407407407,3.80800694444444,4.25443981481482,2.60521296296296
"G.10.44",65.3585625,15.8511979166667,3.71647708333333,0.472,3.35644166666667,4.71236875,3.20129375,5.83965833333333,9.32986041666667,3.47972708333333,4.06935833333333,2.47537083333333
"G.11.6",57.8466606060606,14.0736868686869,4.49906464646465,0.803951515151515,3.65901414141414,4.85388484848485,2.87865757575758,4.78044747474747,9.53887373737374,4.19730202020202,4.43718787878788,2.51774848484849
"G.11.7",71.0733333333333,16.6998333333333,4.16127777777778,0.460833333333333,3.59552777777778,4.86936111111111,3.30547222222222,6.25047222222222,9.87816666666667,3.87802777777778,4.37883333333333,2.55258333333333
"G.11.9",63.6006592592593,15.5545555555556,3.90517777777778,0.709274074074074,3.5631962962963,4.8978037037037,3.01506296296296,5.43937407407407,8.91474074074074,3.67349259259259,4.20011851851852,2.74850740740741
"G.11.18",55.7628634920635,15.5737936507937,3.41881715167549,0.366606349206349,2.92864731040564,4.11865776014109,2.80804528218695,5.26786988536155,7.83148558201058,2.97538461199295,3.66233611111111,2.20513994708995
"G.11.19",49.7426273809524,13.8251785714286,2.7468130952381,0.407745238095238,2.71274404761905,4.17905476190476,2.93894285714286,4.85675357142857,8.07275238095238,2.54272380952381,3.302525,2.11480952380952
"G.11.23",48.1517751322751,14.1576737213404,2.95127380952381,0.327585537918871,2.63709215167549,3.95157848324515,2.78748192239859,4.86740520282187,7.60464153439153,2.56343342151675,3.2850462962963,2.03827865961199
