"","Ajun","Along","Bjanata","CelithemisF","CelithemisO","Enalaspersum","Enaldivagans","Enaldubium","Enalgeminatum","Enalsignatum","Enalvesperum","Epitheca_cynosura","Epitheca_semiaquea","Erythemis","Erythrodiplax","Gomphus lividus","Iposita","Ladona","Lestes_d_australis","Libellula","Nehalennia","Pachydiplax","Pantala","Perithemis_tenera","Plathemis","Telebasis","Tramea"
"S.21.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"N.22.2009.Sp",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
"G.23.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,4,0,1,0,0,0,0,0
"S.25.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,5,0,0,0,0,0
"S.27.2009.Sp",1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0
"G.30.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0
"G.32.2009.Sp",0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0
"G.33.2009.Sp",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
"G.34.2009.Sp",0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"B.38.2009.Sp",0,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0
"G.39.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0
"N.40.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"O.41.2009.Sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"N.42.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,35,0,0,1,0,9,0,0,0,2,2
"B.43.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0
"G.44.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0
"S.45.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,8,0,0,0,11,0
"B.46.2009.Sp",0,0,0,28,0,0,0,24,0,0,0,0,3,6,0,0,26,0,0,0,0,0,0,0,0,0,4
"O.48.2009.Sp",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,11,0,0,0,0,0
"S.49.2009.Sp",1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,12,0,0,0,0,1
"N.1.2009.Su",0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,2,0,0,0,0,1,0,0,1,0,0
"S.2.2009.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"B.3.2009.Su",0,0,0,5,0,0,0,0,7,0,0,0,21,4,0,0,13,0,0,7,0,0,0,0,0,0,6
"B.5.2009.Su",0,0,0,1,0,0,0,0,0,12,0,0,21,11,0,0,5,0,0,1,0,7,0,0,1,0,1
"G.6.2009.Su",1,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,3,4,0,3,0,1,0,0,0,0,0
"G.7.2009.Su",0,0,0,0,1,0,0,0,1,0,1,0,17,2,0,0,1,28,0,0,0,0,0,0,0,0,4
"G.8.2009.Su",0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"G.9.2009.Su",0,0,0,3,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,2,0,13,0,0,0,0,1
"N.26.2009.Su",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,29,0,0,3,0,0
"B.28.2009.Su",1,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,3,0,12,0,0,0,0,0
"S.29.2009.Su",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,10,0,0
"G.31.2009.Su",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"B.35.2009.Su",0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,2,0,0,0,0,2,0,0,0,0,0
"S.37.2009.Su",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,24,0,0
"B.10.2009.Su",0,0,0,0,0,0,0,8,13,2,0,0,14,8,0,0,1,0,0,1,0,4,0,0,0,0,9
"O.11.2009.Su",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,9,0,0,1,0,8
"S.12.2009.Su",7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,5,0,0
"B.13.2009.Su",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"S.14.2009.Su",0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,25,0,0
"B.15.2009.Su",0,0,0,0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"S.16.2009.Su",10,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,2,0,3,0,29,0,0,23,0,1
"B.17.2009.Su",3,0,0,0,0,0,0,2,19,9,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"G.18.2009.Su",0,0,0,1,0,0,0,0,0,0,5,0,18,1,0,0,0,12,0,0,0,0,0,0,0,0,0
"G.19.2009.Su",0,0,0,0,0,0,0,0,0,0,0,1,43,1,0,0,5,6,0,0,0,2,0,0,0,0,1
"B.20.2009.Su",0,0,1,0,0,0,0,0,0,0,2,23,23,1,0,0,4,0,0,0,0,4,0,0,0,0,0
